Epoch	SAC_Avg_Qvalue1	SAC_Avg_Qvalue2	SAC_Avg_Policy	SAC_Avg_Alpha	
0	0.2821829067179351	0.261639071512036	-0.47000562793436984	0.9483687397441827
1	-0.6711569943508948	-0.6676895023920224	-0.5672507149574813	0.8561731976806186
2	-1.0932486697201966	-1.0940999178710626	-0.5919569708930794	0.7763555676792748
3	-1.2407771382058854	-1.2357938390487107	-0.6068965307786129	0.7055994680267759
4	-1.0712354427705577	-1.0676485144504113	-0.621190778358141	0.6419997838092968
5	-0.8196460875369667	-0.8186160262921476	-0.6303157864895184	0.5844751925906166
6	-0.523439113263521	-0.5210571563893609	-0.6397647603298537	0.5322877599392086
7	-0.24613518731530348	-0.2458919427699584	-0.6459950913558714	0.48486034918460064
8	0.015787472586453077	0.016725170748031815	-0.6492433010134846	0.4417482113058213
9	0.28810298566349957	0.2884398530186445	-0.6554242818965577	0.40249762116582133
10	0.5201944224500039	0.520260070785298	-0.6577439298271202	0.366747645632131
11	0.7126028163675073	0.713012063439237	-0.6592393946484663	0.33420550377923064
12	0.8985279551125132	0.8994012440962251	-0.663506954209879	0.30455933304619975
13	1.0528387782396749	1.0529286719392985	-0.6660238887998275	0.27753102080896497
14	1.1923151607625186	1.1926530037308112	-0.6690899550449103	0.2529040457447991
15	1.315580173220951	1.315439874655567	-0.6715030765044503	0.23047107843740378
16	1.4339117449708283	1.4338565622456372	-0.673248789680656	0.2100266635970911
17	1.52650427876506	1.5269510634243488	-0.6738863348728046	0.1914097464759834
18	1.6118917943676934	1.6117922101402655	-0.6749285859405063	0.1744414805289125
19	1.6740877489792183	1.6744799469597638	-0.6769512823666446	0.15897922484145965
20	1.730138714541681	1.7305537278298289	-0.6772169259493239	0.14488845686719287
21	1.7713782535865903	1.771718387492001	-0.6772900860523805	0.13205139778438024
22	1.8103585845092312	1.8108443554956466	-0.6799071127315983	0.12034785793366609
23	1.8374263803707436	1.8375571493525058	-0.6801980213494971	0.10967959266417893
24	1.8599337282357737	1.8602961424039677	-0.6791048975428566	0.09996509223856265
25	1.87601035379339	1.8761408909922466	-0.679846900049597	0.09110980739205843
26	1.8850582521408796	1.8851198416668922	-0.6804988014628179	0.0830380405386677
27	1.8831024615792558	1.8831602778518572	-0.6809197088587098	0.07568032502604183
28	1.8826232413994148	1.8827192903263494	-0.6810608577216044	0.06897679133544443
29	1.880286789382808	1.8803366323700175	-0.6811876185238361	0.06286550744334818
30	1.8759758624946699	1.8760456896852702	-0.6819373885518871	0.05729664060709183
31	1.8706997463013977	1.8707054073456675	-0.6815963223343715	0.05222107707595569
32	1.8631543072406203	1.8630908511113375	-0.6812832761206664	0.047595985528460005
33	1.8564672823995352	1.8565140784485266	-0.6823635974433273	0.04337907952867681
34	1.8486409927718341	1.848643995821476	-0.6822310268762521	0.03953689688569284
35	1.8348681597271934	1.83486586145591	-0.6825049259932712	0.03603422585365479
36	1.8226897161221132	1.8226655670441687	-0.6830163857084699	0.03284246084149345
37	1.8091014560777694	1.8090750714764	-0.6825034224893898	0.0299332393824443
38	1.795623218640685	1.7956124712945893	-0.682630917057395	0.02728213973750826
39	1.785340949660167	1.7853080863133073	-0.6821578762610443	0.02486588168721937
40	1.772926270030439	1.7729314784519374	-0.6825400853995234	0.02266313122891006
41	1.7573612447595224	1.7573308071587235	-0.6828847038559616	0.02065562198185944
42	1.7430178228532895	1.743025568779558	-0.6829784555593506	0.01882607115112478
43	1.7320739193819463	1.7320633301278576	-0.6821549803717062	0.01715881070231262
44	1.723017233191058	1.7230886147590354	-0.6834338985499926	0.01563893085130985
45	1.7069771958049387	1.706936635542661	-0.6837437631329522	0.014253307827857498
46	1.697742521762848	1.6977271510986611	-0.6822552306693979	0.012990660343348281
47	1.692685414571315	1.6926787629490718	-0.6822733244625852	0.011840390066026885
48	1.6875682451063767	1.6875344896689057	-0.6822627805522643	0.010791652335683466
49	1.6823181958170608	1.682308402378112	-0.6816686107194982	0.009835790397119126
50	1.6738681165734306	1.6738632782362401	-0.6831646343343891	0.008964555372585892
51	1.6643545321421698	1.6643219063989818	-0.6819513139780611	0.008170432733095367
52	1.6537996503757313	1.6537632336840034	-0.6821915780892596	0.007446866822192533
53	1.6496357067953795	1.649616863229312	-0.6824028671835549	0.006787225890093396
54	1.642160792951472	1.6421308241551742	-0.6822185013443232	0.006185952877331147
