Epoch	SAC_Avg_Qvalue1	SAC_Avg_Qvalue2	SAC_Avg_Policy	SAC_Avg_Alpha	
0	-2.1295323638769332	-2.219878969262936	-0.4726009710229846	0.9487295199651271
1	-3.04374547500629	-3.037384297233075	-0.566604841966182	0.8566555288853124
2	-3.630052933935076	-3.6244415739784017	-0.5906882117269561	0.7769004650763236
3	-3.63862134097144	-3.630602532532066	-0.6091775523673277	0.7060000860365108
4	-3.3997416659258306	-3.393341353861615	-0.6226105287787504	0.642351616115775
5	-3.0600851762574166	-3.0500725717283785	-0.6276552832568996	0.5848370032617822
6	-2.6145633498672396	-2.608729562489316	-0.6363492038508411	0.532672997622285
7	-2.150877536740154	-2.145420664572157	-0.643704580841586	0.48523433617083356
8	-1.7412553192698397	-1.7371273461612873	-0.6495417698170058	0.44204883556813
9	-1.3708286529872566	-1.3667856241227128	-0.6528791362070478	0.40276741617708467
10	-1.0427743521868251	-1.040602284745546	-0.6565276132314466	0.3670075484260451
11	-0.7078685817687074	-0.7062678004294867	-0.6595914848148823	0.33443192587583326
12	-0.43747598958907474	-0.4366476064096787	-0.6644629368092865	0.3047401350631844
13	-0.17185740792228898	-0.17102094243637112	-0.6660341970273294	0.27769314133911394
14	0.06405508651459968	0.06541991446192696	-0.6684071506606415	0.2530624953651568
15	0.27766967270963505	0.2785335326407221	-0.6689639090909623	0.23062729080265854
16	0.45253846248670015	0.45282100458280183	-0.6725451688398607	0.2101761401136173
17	0.6210374679649249	0.6213362311682431	-0.6725993213476613	0.19153952499618754
18	0.7719205059984233	0.7723610203538556	-0.6739127458422445	0.17456320207566023
19	0.893441695603542	0.8938701193255838	-0.6754625551984645	0.1590868025959935
20	1.0120757424156182	1.0121029988513328	-0.6772547956206836	0.14498543908121064
21	1.1155924999038689	1.1161791771883145	-0.6769765318604186	0.13213593562250026
22	1.20406876510242	1.2045032301684842	-0.6785042652045377	0.1204269807858509
23	1.2806246894760989	1.2810122680966742	-0.678888283087872	0.10975435553700663
24	1.3451092095347121	1.3452435930958018	-0.6788371746079065	0.10003113180573564
25	1.4078349268529564	1.407997771864757	-0.6795263834646903	0.09116885058028856
26	1.458882398554124	1.4589586660731584	-0.6806375134037808	0.08309037921571871
27	1.499144619796425	1.4992894773604348	-0.6814262266852893	0.07572706644714344
28	1.5332973577314988	1.5333506477763876	-0.6815301491878927	0.06901770873810165
29	1.5617784737842157	1.5617112304316834	-0.6812810843111947	0.06290447371065966
30	1.5856305311899632	1.5856584522407502	-0.6813500775024295	0.05733267445975798
31	1.6046231259824708	1.6046180974226445	-0.6819193279370666	0.05225348410385777
32	1.6247568760300055	1.624767825123854	-0.6819105353206396	0.047624770926631754
33	1.6383852578001097	1.6384421796537936	-0.6820654170005582	0.043406233919085935
34	1.6489955935394391	1.648993818438612	-0.6822405928978696	0.03956078096598503
35	1.6567251571686938	1.6567103853449225	-0.6829007563646883	0.036056240867765155
36	1.6639920820016414	1.6640159802045673	-0.6834038445376791	0.03286253801343264
37	1.6702622830634937	1.670261847320944	-0.6828422198886983	0.02995095931873948
38	1.6713572513544932	1.6713534374721348	-0.6829252650495619	0.027298247050566715
39	1.6747862276388332	1.6747572956373915	-0.6826487506041303	0.02488046372855024
40	1.6729288308415562	1.672968169907108	-0.6829448812059127	0.022676767917801044
41	1.6689752870006487	1.6688991599949077	-0.6825199936283752	0.020668552571805776
42	1.6661096471361816	1.6660668171243742	-0.6819773204042576	0.018838185369531857
43	1.6615660139359534	1.6615342644508928	-0.6826647027628496	0.01716940346705087
44	1.662442696513608	1.662424530950375	-0.682966182474047	0.015648600005988555
45	1.662857336224988	1.6628711071098223	-0.6832052218960598	0.014262106437854527
46	1.6628442126093432	1.66284522973001	-0.681669398851227	0.012999150600080611
